[I 2025-04-30 13:29:50,902] Trial 69 finished with value: 0.8897727272727274 and parameters: {'n_estimators': 742, 'max_depth': 32, 'min_samples_split': 8, 'min_samples_leaf': 1, 'max_features': 'log2', 'bootstrap': True}. Best is trial 3 with value: 0.8911363636363635.
[I 2025-04-30 13:30:39,438] Trial 70 finished with value: 0.8873863636363636 and parameters: {'n_estimators': 716, 'max_depth': 25, 'min_samples_split': 9, 'min_samples_leaf': 2, 'max_features': None, 'bootstrap': True}. Best is trial 3 with value: 0.8911363636363635.
[I 2025-04-30 13:30:52,493] Trial 71 finished with value: 0.8877272727272727 and parameters: {'n_estimators': 665, 'max_depth': 15, 'min_samples_split': 4, 'min_samples_leaf': 6, 'max_features': 'log2', 'bootstrap': True}. Best is trial 3 with value: 0.8911363636363635.
[I 2025-04-30 13:31:05,597] Trial 72 finished with value: 0.8887499999999999 and parameters: {'n_estimators': 616, 'max_depth': 39, 'min_samples_split': 9, 'min_samples_leaf': 2, 'max_features': 'log2', 'bootstrap': True}. Best is trial 3 with value: 0.8911363636363635.
[I 2025-04-30 13:31:20,548] Trial 73 finished with value: 0.8903409090909091 and parameters: {'n_estimators': 687, 'max_depth': 43, 'min_samples_split': 10, 'min_samples_leaf': 1, 'max_features': 'log2', 'bootstrap': True}. Best is trial 3 with value: 0.8911363636363635.
[I 2025-04-30 13:31:32,191] Trial 74 finished with value: 0.8897727272727274 and parameters: {'n_estimators': 535, 'max_depth': 41, 'min_samples_split': 10, 'min_samples_leaf': 1, 'max_features': 'log2', 'bootstrap': True}. Best is trial 3 with value: 0.8911363636363635.
[I 2025-04-30 13:31:48,008] Trial 75 finished with value: 0.8884090909090908 and parameters: {'n_estimators': 730, 'max_depth': 34, 'min_samples_split': 9, 'min_samples_leaf': 2, 'max_features': 'log2', 'bootstrap': True}. Best is trial 3 with value: 0.8911363636363635.
[I 2025-04-30 13:32:08,002] Trial 76 finished with value: 0.8895454545454546 and parameters: {'n_estimators': 776, 'max_depth': 38, 'min_samples_split': 2, 'min_samples_leaf': 1, 'max_features': 'log2', 'bootstrap': True}. Best is trial 3 with value: 0.8911363636363635.
[I 2025-04-30 13:32:27,189] Trial 77 finished with value: 0.8898863636363636 and parameters: {'n_estimators': 826, 'max_depth': 30, 'min_samples_split': 4, 'min_samples_leaf': 2, 'max_features': 'log2', 'bootstrap': True}. Best is trial 3 with value: 0.8911363636363635.
[I 2025-04-30 13:32:42,127] Trial 78 finished with value: 0.8901136363636365 and parameters: {'n_estimators': 640, 'max_depth': 37, 'min_samples_split': 3, 'min_samples_leaf': 1, 'max_features': 'log2', 'bootstrap': True}. Best is trial 3 with value: 0.8911363636363635.
